model - 1591451362, 1591451374.263, 0.47, 0.2597,  0.54, 0.2404
model - 1591451362, 1591451374.362, 0.63, 0.2412,  0.59, 0.2429
model - 1591451362, 1591451374.46, 0.52, 0.2399,  0.57, 0.24
model - 1591451362, 1591451374.565, 0.55, 0.2542,  0.54, 0.2434
model - 1591451362, 1591451374.666, 0.49, 0.2466,  0.46, 0.2519
model - 1591451362, 1591451374.764, 0.49, 0.2497,  0.48, 0.2457
model - 1591451362, 1591451374.863, 0.5, 0.249,  0.5, 0.2442
model - 1591451362, 1591451374.969, 0.46, 0.2518,  0.59, 0.2453
model - 1591451362, 1591451375.066, 0.56, 0.2443,  0.45, 0.2467
model - 1591451362, 1591451375.202, 0.55, 0.2441,  0.53, 0.246
model - 1591451362, 1591451375.317, 0.47, 0.2481,  0.53, 0.2449
model - 1591451362, 1591451375.437, 0.56, 0.2453,  0.55, 0.2457
model - 1591451362, 1591451375.539, 0.51, 0.2498,  0.53, 0.2463
model - 1591451362, 1591451375.648, 0.6, 0.2439,  0.53, 0.249
model - 1591451362, 1591451375.749, 0.48, 0.2515,  0.47, 0.2515
model - 1591451362, 1591451375.847, 0.45, 0.2554,  0.47, 0.2518
model - 1591451362, 1591451375.946, 0.49, 0.2504,  0.54, 0.245
model - 1591451362, 1591451376.047, 0.49, 0.2489,  0.54, 0.2474
model - 1591451362, 1591451376.151, 0.49, 0.2521,  0.6, 0.2428
model - 1591451362, 1591451376.249, 0.62, 0.2472,  0.54, 0.2502
model - 1591451362, 1591451376.347, 0.6, 0.2406,  0.53, 0.2434
model - 1591451362, 1591451376.453, 0.53, 0.2461,  0.62, 0.2448
model - 1591451362, 1591451376.55, 0.53, 0.2516,  0.52, 0.2508
model - 1591451362, 1591451376.647, 0.59, 0.2511,  0.55, 0.2411
model - 1591451362, 1591451376.772, 0.58, 0.2446,  0.59, 0.2458
model - 1591451362, 1591451376.891, 0.52, 0.252,  0.54, 0.2435
model - 1591451362, 1591451376.995, 0.65, 0.2421,  0.53, 0.2461
model - 1591451362, 1591451377.094, 0.52, 0.2469,  0.54, 0.2442
model - 1591451362, 1591451377.22, 0.62, 0.241,  0.58, 0.2425
model - 1591451362, 1591451377.34, 0.48, 0.2536,  0.56, 0.2454
model - 1591451362, 1591451377.458, 0.57, 0.2437,  0.53, 0.2501
model - 1591451362, 1591451377.558, 0.56, 0.241,  0.55, 0.2408
model - 1591451362, 1591451377.656, 0.46, 0.2465,  0.64, 0.2399
model - 1591451362, 1591451377.755, 0.63, 0.2419,  0.45, 0.2553
model - 1591451362, 1591451377.856, 0.53, 0.2458,  0.56, 0.2419
model - 1591451362, 1591451377.956, 0.49, 0.2631,  0.61, 0.2458
model - 1591451362, 1591451378.056, 0.61, 0.2362,  0.58, 0.2402
model - 1591451362, 1591451378.156, 0.69, 0.2358,  0.45, 0.2527
model - 1591451362, 1591451378.256, 0.61, 0.236,  0.59, 0.2318
model - 1591451362, 1591451378.359, 0.49, 0.2432,  0.52, 0.2473
model - 1591451362, 1591451378.458, 0.66, 0.2341,  0.57, 0.2406
model - 1591451362, 1591451378.56, 0.52, 0.2435,  0.54, 0.2436
model - 1591451362, 1591451378.66, 0.5, 0.2564,  0.54, 0.2447
model - 1591451362, 1591451378.759, 0.61, 0.2355,  0.56, 0.2409
model - 1591451362, 1591451378.872, 0.51, 0.2558,  0.54, 0.2449
model - 1591451362, 1591451378.979, 0.57, 0.245,  0.53, 0.2478
model - 1591451362, 1591451379.08, 0.62, 0.2314,  0.51, 0.2457
model - 1591451362, 1591451379.178, 0.55, 0.2411,  0.59, 0.2403
model - 1591451362, 1591451379.284, 0.58, 0.2407,  0.59, 0.2382
model - 1591451362, 1591451379.394, 0.54, 0.2417,  0.57, 0.238
model - 1591451362, 1591451379.511, 0.53, 0.2421,  0.48, 0.2545
model - 1591451362, 1591451379.616, 0.54, 0.2471,  0.55, 0.2456
model - 1591451362, 1591451379.715, 0.59, 0.2443,  0.6, 0.2374
